GHCN_ID,NAME,LATITUDE,LONGITUDE,ELEVATION,ISO_CODE
INM00043277,TIRUTTANI,13.15,79.533,87.0,IN
INI0000VADU,DIU APRT,20.715,70.922,9.1,IN
INM00043230,DAVANGERE,14.5,75.917,620.0,IN
INI0000VOBL,BANGALURU INTL AIRPORT / KEMP,13.2,77.7,915.0,IN
INM00043310,LONG ISLAND,12.417,92.933,25.0,IN
INM00042567,KHAJURAHO,24.983,79.917,217.0,IN
INM00042383,MOTIHARI,26.667,84.917,66.0,IN
INM00043325,SALEM,11.65,78.167,278.0,IN
INM00042706,BANKURA,23.383,87.083,100.0,IN
INM00042661,RATLAM,23.317,75.05,486.0,IN
INM00042174,PILANI,28.333,75.583,301.0,IN
INM00042381,AZAMGARH,26.05,83.217,78.0,IN
INM00042261,AGRA,27.167,78.033,169.0,IN
INM00042671,SAGAR,23.85,78.75,551.0,IN
INI0000VARK,RAJKOT,22.309,70.78,134.4,IN
INM00043187,NARSAPUR,16.433,81.7,4.0,IN
INM00042730,OKHA,22.483,69.117,7.0,IN
INM00042270,KHERI,27.9,80.8,147.0,IN
INM00042467,NOWGONG,25.067,79.45,229.0,IN
INM00042933,AKOLA,20.7,77.033,282.0,IN
INM00043382,NANCOWRY,7.983,93.533,26.0,IN
INM00043137,KHAMMAM,17.25,80.15,112.0,IN
INM00043005,T B I A,19.15,72.0,12.0,IN
INM00042832,KESHOD,21.317,70.317,50.0,IN
INM00042104,NAHAN,30.4,76.767,958.0,IN
INM00042795,CHAIBASA,22.55,85.817,226.0,IN
INM00042395,FORBESGANJ,26.3,87.267,61.0,IN
INM00042740,SURENDRANAGAR,22.733,71.6,74.0,IN
INM00043330,THANJAVUR,10.783,79.133,68.0,IN
INM00043367,CAR NICOBAR,9.167,92.833,10.0,IN
INM00042079,SUNDERNAGAR,31.533,76.9,874.0,IN
INM00043012,JALNA,19.833,75.8,538.0,IN
INM00043029,CHANDRAPUR,19.967,79.3,193.0,IN
INM00042937,AMRAOTI,20.933,77.783,370.0,IN
INM00043161,BIJAPUR,16.817,75.717,594.0,IN
INM00043301,DHARMAPURI,12.133,78.033,396.0,IN
INM00043071,JEUR,18.2,75.2,521.0,IN
INM00042639,NEW KANDLA,23.0,70.217,14.0,IN
INM00042469,HAMIRPUR,25.95,80.15,109.0,IN
INM00043053,PURI,19.8,85.817,6.0,IN
INM00043338,ERODE,11.483,77.767,172.0,IN
INM00043243,KAVALI,14.9,79.983,17.0,IN
INM00043342,K. PARAMATHY,10.95,78.083,181.0,IN
INM00042527,KOHIMA,25.633,94.167,1406.0,IN
INM00042139,MEERUT,29.017,77.717,222.0,IN
INM00043025,ADILABAD,19.65,78.533,269.0,IN
INM00043331,M.O. PONDICHERRY,11.967,79.817,38.0,IN
INM00042328,JAISALMER,26.9,70.917,231.0,IN
INM00043359,MADURAI,9.917,78.117,133.0,IN
INM00042851,JALGAON,21.05,75.567,201.0,IN
INM00042883,SAMBALPUR,21.467,83.967,148.0,IN
INM00042523,LUMDING,25.75,93.183,149.0,IN
INM00042939,WARDHA,20.667,78.583,283.0,IN
INM00043339,KODAIKANAL,10.233,77.467,2343.0,IN
INM00042343,AJMER,26.45,74.617,486.0,IN
INM00043376,PALAYANKOTTAI,8.733,77.75,51.0,IN
INM00043275,TIRUPATHI,13.667,79.583,105.0,IN
INM00042776,MANDLA,22.583,80.367,443.0,IN
INM00042456,SHEOPUR,25.667,76.683,235.0,IN
INM00042447,BHILWARA,25.35,74.633,425.0,IN
INM00042963,BOLANGIR,20.7,83.5,190.0,IN
INM00042771,SEONI,22.083,79.55,619.0,IN
INM00042901,DIGHA,21.617,87.5,6.0,IN
INM00043060,MATHERAN,18.983,73.283,695.0,IN
INM00043340,YERCAUD,11.75,78.167,1463.0,IN
INM00042170,CHURU,28.25,74.917,291.0,IN
INM00043083,MEDAK,18.05,78.267,472.0,IN
INI0000VOBM,BELGAUM AIRPORT / BELAGAVI,15.85,74.617,747.0,IN
INM00042220,PASIGHAT,28.1,95.383,157.0,IN
INM00042165,BIKANER,28.0,73.3,224.0,IN
INM00043182,NANDIGAMA,16.783,80.283,51.0,IN
INM00042709,BURDWAN,23.233,87.85,30.0,IN
INM00042849,KHARGONE,21.817,75.617,251.0,IN
INM00042026,GULMARG,34.05,74.4,2655.0,IN
INM00043318,COONOOR,11.35,76.8,1747.0,IN
INM00042834,AMRELI,21.6,71.217,115.0,IN
INM00043302,BANGALORE / HAL AIRPORT BENGA,12.95,77.668,887.6,IN
INM00043105,KALINGAPATAM,18.333,84.133,6.0,IN
INM00043379,TUTICORIN NEW PORT,8.75,78.183,2.0,IN
INM00042588,DEHRI,24.917,84.183,107.0,IN
INM00042810,BASIRHAT,22.65,88.867,4.0,IN
INM00042838,BHAUNAGAR,21.75,72.2,5.0,IN
INI0000VEBN,LAL BAHADUR SHASTRI VARANASI,25.45,82.867,81.1,IN
INM00042279,BASTI,26.8,82.733,89.0,IN
INM00042557,RAJGARH,24.0,76.717,382.0,IN
INM00043225,KARWAR,14.783,74.133,4.0,IN
INI0000VIDD,SAFDARJUNG,28.585,77.206,214.9,IN
INM00042767,PACHMARHI,22.467,78.433,1075.0,IN
INM00042468,ORAI,25.983,79.5,141.0,IN
INI0000VIDP,INDIRA GANDHI INTL,28.567,77.103,236.8,IN
INM00043272,CHINTAMANI,13.2,78.067,857.0,IN
INM00043113,SATARA,17.517,74.05,612.0,IN
INM00042693,AMBIKAPUR,23.167,83.25,611.0,IN
INM00043097,KORAPUT,18.817,82.717,913.0,IN
INM00042654,GANDHINAGAR,23.233,72.717,82.0,IN
INM00042631,NALIYA,23.25,68.85,21.0,IN
INM00043311,M.O. AMINI,11.117,72.733,3.0,IN
INM00042114,TEHRI,30.4,78.483,770.0,IN
INM00042435,BARMER,25.75,71.383,194.0,IN
INI0000VABB,CHHATRAPATI SHIVAJI MAHARAJ I,19.089,72.868,11.3,IN
INM00042846,NANDURBAR,21.333,74.25,206.0,IN
INM00043348,ATIRAMAPATTINAM,10.333,79.383,6.0,IN
